A,B,id,MSE
2004500.0,1000.0,2238,0.38883421721057027
4003000.0,1000.0,1518,0.4088890905913942
6001500.0,1000.0,798,0.5181256301692836
8000000.0,1000.0,78,0.6367525429104319
2004500.0,1750.0,2382,0.703745977080406
4003000.0,1750.0,1662,0.7447378555543263
6001500.0,1750.0,942,0.8589820483693984
2004500.0,2500.0,2526,0.9597585573155931
8000000.0,1750.0,222,0.9771663245663162
4003000.0,2500.0,1806,1.0051602084047953
6000.0,1000.0,2958,1.066808593361985
6001500.0,2500.0,1086,1.118751653612273
2004500.0,3250.0,2670,1.1643096284280678
4003000.0,3250.0,1950,1.2088628448999095
8000000.0,2500.0,366,1.2344669165584174
6000.0,1750.0,3102,1.3076084520055042
6001500.0,3250.0,1230,1.3199170878243054
2004500.0,4000.0,2814,1.3298149020669963
4003000.0,4000.0,2094,1.371768647279319
8000000.0,3250.0,510,1.4326322603542294
6001500.0,4000.0,1374,1.4798169370444678
6000.0,2500.0,3246,1.5444710144402265
8000000.0,4000.0,654,1.5896040555627415
6000.0,3250.0,3390,1.7451675972418914
6000.0,4000.0,3534,1.9117037419350367
